,time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,coco,el_price,y_original,date,year,month,dow,dayname,weekend,hour,season,h_type,is_holiday,y_imp,y_imp_r2,y_imp_r3,y_imp_log,y_imp_r2_log,y_imp_r3_log
0,2021-08-31 21:00:00+00:00,11.2,10.3,94.0,0.0,0.0,320.0,7.2,16.7,1012.6,2.0,0.0901599999999999,0.577,2021-08-31,2021,8,1,Tuesday,no,21,Summer,not_hol,not_hol,0.577001,0.577001,0.577001,-0.5499112793732863,-0.5499112793732863,-0.5499112793732863
1,2021-08-31 22:00:00+00:00,10.7,9.6,93.0,0.0,0.0,320.0,7.2,13.0,1012.6,2.0,0.09251,0.594,2021-08-31,2021,8,1,Tuesday,no,22,Summer,not_hol,not_hol,0.594001,0.585501,0.594001,-0.5208742761192257,-0.5352873880038935,-0.5208742761192257
2,2021-08-31 23:00:00+00:00,9.9,9.0,94.0,0.0,0.0,320.0,7.2,13.0,1012.2,2.0,0.0889,0.685,2021-08-31,2021,8,1,Tuesday,no,23,Summer,not_hol,not_hol,0.6850010000000001,0.6395010000000001,0.6186676666666667,-0.37833498086696266,-0.4470670942428046,-0.48018703792609674
3,2021-09-01 00:00:00+00:00,10.0,8.4,90.0,0.0,0.0,330.0,7.2,13.0,1011.9,1.0,0.08735,1.016,2021-09-01,2021,9,2,Wednesday,no,0,Autumn,not_hol,not_hol,1.016001,0.850501,0.7650010000000002,0.01587433340777421,-0.16192969136795832,-0.2678781379669129
4,2021-09-01 01:00:00+00:00,9.0,8.1,94.0,0.0,0.0,300.0,3.6,13.0,1011.4,2.0,0.08688,0.677,2021-09-01,2021,9,2,Wednesday,no,1,Autumn,not_hol,not_hol,0.6770010000000001,0.846501,0.7926676666666667,-0.3900825289660784,-0.16664389607473643,-0.23235122883597562
5,2021-09-01 02:00:00+00:00,9.3,8.8,97.0,0.0,0.0,300.0,7.2,13.0,1011.3,2.0,0.08843,0.673,2021-09-01,2021,9,2,Wednesday,no,2,Autumn,not_hol,not_hol,0.6730010000000001,0.6750010000000001,0.7886676666666667,-0.39600846345441204,-0.39304110662922304,-0.2374102551499121
6,2021-09-01 03:00:00+00:00,10.4,9.3,93.0,0.0,0.0,310.0,7.2,14.8,1011.3,2.0,0.09358,0.565,2021-09-01,2021,9,2,Wednesday,no,3,Autumn,not_hol,not_hol,0.565001,0.619001,0.6383343333333333,-0.570927777925758,-0.4796483907899605,-0.448893099457093
7,2021-09-01 04:00:00+00:00,10.7,9.6,93.0,0.0,0.0,310.0,7.2,16.7,1011.3,4.0,0.1187,0.385,2021-09-01,2021,9,2,Wednesday,no,4,Autumn,not_hol,not_hol,0.385001,0.475001,0.541001,-0.9545093472951287,-0.744438369686554,-0.6143341517085285
8,2021-09-01 05:00:00+00:00,11.6,9.8,89.0,0.0,0.0,320.0,7.2,18.5,1011.2,2.0,0.13544,1.435,2021-09-01,2021,9,2,Wednesday,no,5,Autumn,not_hol,not_hol,1.435001,0.9100010000000001,0.7950010000000001,0.3611655460754531,-0.09430958057074615,-0.22941190646696094
9,2021-09-01 06:00:00+00:00,12.8,9.8,82.0,0.0,0.0,320.0,10.8,20.4,1011.0,1.0,0.14072,1.494,2021-09-01,2021,9,2,Wednesday,no,6,Autumn,not_hol,not_hol,1.494001,1.4645009999999998,1.1046676666666666,0.40145775605444434,0.38151457011232126,0.0995445355863043
